"id","brand","company","overall_grade","color_grade","statement","grade_policies","grade_wage","grade_rights","grade_workers","grade_environment","grade_climate"
"140","David Jones","David Jones","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"141","David Jones Classic Collection","David Jones","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"142","David Jones Junior","David Jones","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"143","Dazie","The Iconic","29","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","Some Progress","Limited Progress","Limited Progress","Some Progress"
"144","DC Shoes","Boardriders","5","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"145","Debenhams","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"146","Debut","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"147","Decjuba","Decjuba","16","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"148","Decjuba Girls","Decjuba","16","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"149","Denim Bloom","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"150","DENIZEN from Levi's","Levi Strauss and Co","39","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","No Evidence","Good Progress","Some Progress"
"151","Deuce","Overland","13","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"152","Diana Ferrari","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"153","Django & Juliette","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"154","Dockers","Levi Strauss and Co","39","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","No Evidence","Good Progress","Some Progress"
"155","Don't Ask Amanda","General Pants Group","31","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"156","Dorothy Perkins","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"157","Dotti","Just Group","27","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"158","Double Oak Mills","The Iconic","29","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","Some Progress","Limited Progress","Limited Progress","Some Progress"
"159","Eastpak","VF Corp","54","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Good Progress"
"160","Easy Steps","WM Ritchie","2","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"161","Edited","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"162","Edited Body","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"163","Edited Plus","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"164","Element","Boardriders","5","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"165","Elite","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"166","Elka Collective","Brand Collective (Apparel)","12","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Some Progress","Limited Progress","Limited Progress","No Evidence"
"167","Ell&Voo","Rebel Sport","13","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","Limited Progress","No Evidence","No Evidence","Some Progress"
"168","Ella Moon","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"169","ellesse","Pentland Brands","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"170","ELWD","Brand Collective (Apparel)","12","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Some Progress","Limited Progress","Limited Progress","No Evidence"
"171","Elwood","Brand Collective (Apparel)","12","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Some Progress","Limited Progress","Limited Progress","No Evidence"
"172","Emerge","Ezibuy","24","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"173","Emma Riley","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"174","Endless","The Iconic","29","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","Some Progress","Limited Progress","Limited Progress","Some Progress"
"175","Endura","Pentland Brands","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"176","Essentialist","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"177","Euro Edit","Ezibuy","24","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"178","European Collection","Ezibuy","24","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"179","Evans","City Chic Collective","35","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"180","Everlast","The PAS Group Limited","20","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"181","Exie","Accent Group","16","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence"
"182","Extreme Crane","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"183","Ezibuy","Ezibuy","24","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"184","Factorie","Cotton On Group","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress"
"185","Farmers","Farmers","2","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"186","Favourites","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"187","Find.","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"188","First Mśe","Accent Group","16","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence"
"189","Florsheim","Weyco Group","7","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"190","Forclaz","Decathlon","32","3","This company is new to the Ethical Fashion Guide and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","No Evidence","Some Progress","Good Progress"
"191","Forever 21","F21 OpCo LLC","3","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"192","Forever New","Forever New","52","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Good Progress","No Evidence"
"193","Franklin Tailored","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"194","French Connection","Brandbank","21","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","No Evidence"
"195","Fruit of the Loom","Fruit of the Loom","34","3","This is lower than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"196","FXD","Globe International Limited","10","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"197","Gamins","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"198","Gap","Gap INC","46","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"199","Garage","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"200","Gear for Sports","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"201","General Pants Group","General Pants Group","31","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"202","Geoffrey Beene","PVH Corp","43","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"203","Gildan","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"204","Gildan Hammer","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"205","Gilly Hicks","Abercrombie & Fitch","23","2","This is lower than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"206","Ginger Tree","Voyager Distributing Co","4","1","This is higher than the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","No Evidence","No Evidence"
"207","Glassons","Hallenstein Glasson Holdings","56","5","This is lower than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Good Progress","Some Progress","Some Progress","Some Progress"
"208","Globe","Globe International Limited","10","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"209","Gold Toe","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"210","Good Brief","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"211","Goodsport","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"212","Goodthreads","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"213","Gorman","Factory X","36","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"214","GP Co Basics","General Pants Group","31","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"215","GP Tees","General Pants Group","31","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"216","Grace Hill","Ezibuy","24","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"217","Grosby","Brand Collective (Footwear)","22","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","No Evidence"
"218","GTM","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"219","H&H","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"220","H&M","H&M","56","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Good Progress"
"221","H&M Home","H&M","56","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Good Progress"
"222","Hale","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"223","Hallenstein Brothers","Hallenstein Glasson Holdings","56","5","This is lower than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Good Progress","Some Progress","Some Progress","Some Progress"
"224","Hanes","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"225","Hannahs","Ngahuia Group","0","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"226","Hard Yakka","Workwear Group","39","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"227","Harley-Davidson Footwear","Wolverine Worldwide","14","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"228","Harris Scarfe","Spotlight Group","1","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"229","Haven Outerwear","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"230","Hayden Rose","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"231","Heart and Dagger","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"232","Heine","Ezibuy","24","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"233","Hem & Seam","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"234","Henleys","Accent Group","16","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence"
"235","Heritage","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"236","Hestia","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"237","Higgledee","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"238","Higgledee Baby","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"239","Hill City","Gap INC","46","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"240","Hollister Co.","Abercrombie & Fitch","23","2","This is lower than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"241","House & Shields","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"242","Hugo","Hugo Boss Group","51","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Good Progress","Good Progress"
"243","Huntley & Sons","Lowes","9","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"244","Hush Puppies","Brand Collective (Footwear)","22","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","No Evidence"
"245","HyTest","Wolverine Worldwide","14","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"246","I Love Billy","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"247","Icebreaker","VF Corp","54","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Good Progress"
"248","Indie kids","Industrie","7","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"249","Indigo Society","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"250","Industrie","Industrie","7","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"251","Inkast Denim","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"252","INOC","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"253","Insight","General Pants Group","31","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"254","Intermix","Gap INC","46","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"255","Intrepid","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"256","Iris & Lily","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"257","Isle Bay Linens","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"258","Isobar","Ezibuy","24","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"259","Isobelle","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"260","ITNO","Accent Group","16","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence"
"261","IZOD","PVH Corp","43","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"262","Jacqui E","Just Group","27","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"263","Jag","APG & Co","46","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Some Progress","Limited Progress","No Evidence"
"264","James & Erin","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"265","Jane Debster","WM Ritchie","2","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"266","Janie and Jack","Gap INC","46","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"267","Jansport","VF Corp","54","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Good Progress"
"268","Jay Jays","Just Group","27","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"269","Jeanswest","Jeanswest","5","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","Limited Progress","No Evidence","No Evidence","No Evidence","No Evidence"
"270","JMS","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"271","Jockey (Australia and NZ)","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"272","John Bull","Blundstone","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"273","Johnny Bigg","Retail Apparel Group","35","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Good Progress","Some Progress","Limited Progress","No Evidence"
"274","Jordan","Nike","50","5","This is lower than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Good Progress","Some Progress"
"275","Julius Marlow","Brand Collective (Footwear)","22","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","No Evidence"
"276","Jump","Voyager Distributing Co","4","1","This is higher than the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","No Evidence","No Evidence"
"277","Just Jeans","Just Group","27","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
